Date,Open,Low,High,Close,Volume,Max,Min,A,B,C,D,E,F,DB,Leadup,AB_Days,AB_Vert,AB,BC_Days,BC_Vert,BC,CD_Days,CD_Vert,CD,DE_Vert,DE_Days,DE,EF
2017-11-24,8138.99,8090.0,8734.78,8700.01,4292.623682,0.0,0.0,8212.0,8119.51,8205.92,8019.99,8700.01,9838.96,1.0,7761.94,1.0,-92.48999999999978,-92.48999999999978,1.0,86.40999999999985,86.40999999999985,1.0,-185.9300000000003,-185.9300000000003,680.0200000000004,2.0,340.0100000000002,1138.949999999999
2018-04-01,6813.01,6765.0,7125.0,7056.0,32123.560072,0.0,0.0,7949.3,6840.23,6923.91,6813.01,7056.0,6895.8,1.0,8134.23,2.0,-1109.0700000000006,-554.5350000000003,1.0,83.68000000000029,83.68000000000029,1.0,-110.89999999999964,-110.89999999999964,242.98999999999978,1.0,242.98999999999978,-160.19999999999982
2018-08-16,6316.0,6285.4,6585.0,6584.49,57851.610803,1.0,0.0,7024.19,6285.0,6529.79,6144.01,6584.49,6360.89,1.0,7418.78,3.0,-739.1899999999996,-246.39666666666653,1.0,244.78999999999996,244.78999999999996,1.0,-385.77999999999975,-385.77999999999975,440.47999999999956,7.0,62.92571428571422,-223.59999999999945
2018-10-04,6591.69,6543.08,6697.0,6635.65,16096.552392,1.0,0.0,6689.13,6596.38,6626.57,6510.0,6635.65,6631.0,1.0,6447.54,2.0,-92.75,-46.375,1.0,30.1899999999996,30.1899999999996,3.0,-116.56999999999971,-38.85666666666657,125.64999999999964,2.0,62.82499999999982,-4.649999999999636
2019-02-07,3398.4,3373.1,3733.58,3659.04,47968.058013,0.0,0.0,3569.62,3411.04,3504.77,3398.4,3659.04,3609.4,1.0,3570.93,5.0,-158.57999999999993,-31.715999999999987,4.0,93.73000000000002,23.432500000000005,5.0,-106.36999999999989,-21.27399999999998,260.6399999999999,1.0,260.6399999999999,-49.63999999999987
2019-03-04,3716.1,3703.55,3877.1,3857.73,32962.536162,0.0,0.0,4117.76,3743.56,3827.92,3715.3,3857.73,3916.82,1.0,3937.31,1.0,-374.2000000000003,-374.2000000000003,1.0,84.36000000000013,84.36000000000013,7.0,-112.61999999999989,-16.088571428571413,142.42999999999984,1.0,142.42999999999984,59.090000000000146
2019-03-26,3948.77,3936.15,4048.0,4038.05,32364.555852,1.0,0.0,4043.04,3980.64,4006.01,3936.12,4038.05,4144.56,1.0,3987.81,1.0,-62.40000000000009,-62.40000000000009,2.0,25.370000000000346,12.685000000000173,2.0,-69.89000000000033,-34.945000000000164,101.93000000000029,2.0,50.965000000000146,106.51000000000022
2019-07-29,9509.07,9402.0,9714.28,9574.21,32536.368834,0.0,0.0,9879.87,9476.52,9541.54,9507.64,9574.21,10929.23,1.0,9864.91,2.0,-403.35000000000036,-201.67500000000018,1.0,65.02000000000044,65.02000000000044,1.0,-33.900000000001455,-33.900000000001455,66.56999999999971,1.0,66.56999999999971,1355.0200000000004
2019-08-18,10306.17,10258.6,10930.0,10915.54,37243.319217,1.0,0.0,11549.97,10050.37,10331.54,10216.02,10915.54,10134.35,1.0,11879.99,3.0,-1499.5999999999985,-499.86666666666616,2.0,281.1700000000001,140.58500000000004,1.0,-115.52000000000044,-115.52000000000044,699.5200000000004,2.0,349.7600000000002,-781.1900000000005
2019-09-29,8043.04,7710.0,8337.26,8289.34,55865.48726,0.0,0.0,10415.01,8063.73,8198.81,8043.82,8289.34,8126.19,1.0,10098.15,14.0,-2351.2800000000007,-167.94857142857148,2.0,135.07999999999993,67.53999999999996,1.0,-154.98999999999978,-154.98999999999978,245.52000000000044,1.0,245.52000000000044,-163.15000000000055
2019-11-03,9196.46,9115.84,9513.68,9393.35,45894.456277,1.0,0.0,9407.62,9140.85,9289.52,9194.71,9393.35,8809.41,1.0,9529.93,2.0,-266.77000000000044,-133.38500000000022,2.0,148.67000000000007,74.33500000000004,1.0,-94.81000000000131,-94.81000000000131,198.64000000000124,1.0,198.64000000000124,-583.9400000000005
2019-11-26,7154.75,6840.0,7655.0,7508.52,92452.87349,1.0,0.0,9289.52,7268.23,7311.57,6903.28,7508.52,7294.28,1.0,9140.85,20.0,-2021.2900000000009,-101.06450000000004,1.0,43.340000000000146,43.340000000000146,1.0,-408.28999999999996,-408.28999999999996,605.2400000000007,3.0,201.7466666666669,-214.2400000000007
2020-01-25,8340.01,8293.66,8618.13,8615.0,31130.485164,0.0,0.0,8736.03,8404.52,8439.0,8340.58,8615.0,9352.89,1.0,8701.7,2.0,-331.5100000000002,-165.7550000000001,1.0,34.47999999999956,34.47999999999956,1.0,-98.42000000000007,-98.42000000000007,274.4200000000001,1.0,274.4200000000001,737.8899999999994
2020-03-18,5393.26,5252.53,6400.0,6162.37,199020.873439,0.0,0.0,7934.52,4800.0,5578.6,5028.97,6162.37,6744.72,1.0,7929.87,1.0,-3134.5200000000004,-3134.5200000000004,1.0,778.6000000000004,778.6000000000004,3.0,-549.6300000000001,-183.21000000000004,1133.3999999999996,3.0,377.7999999999999,582.3500000000004
2020-04-15,6621.25,6468.27,7190.0,7101.94,125009.857539,1.0,0.0,7361.28,6858.92,6903.79,6837.91,7101.94,6841.37,1.0,7329.9,2.0,-502.3599999999997,-251.17999999999984,2.0,44.86999999999989,22.434999999999945,1.0,-65.88000000000011,-65.88000000000011,264.02999999999975,3.0,88.00999999999992,-260.5699999999997
2020-08-04,11191.99,11093.0,11780.93,11744.91,74970.256852,0.0,0.0,11801.17,11071.35,11219.81,11191.97,11744.91,11892.92,1.0,11099.61,1.0,-729.8199999999997,-729.8199999999997,1.0,148.45999999999913,148.45999999999913,1.0,-27.840000000000146,-27.840000000000146,552.9400000000005,1.0,552.9400000000005,148.01000000000022
2020-08-09,11681.69,11450.0,12067.35,11892.92,84952.337887,1.0,0.0,11762.46,11594.23,11761.41,11681.68,11892.92,11852.4,1.0,11191.97,1.0,-168.22999999999956,-168.22999999999956,1.0,167.1800000000003,167.1800000000003,1.0,-79.72999999999956,-79.72999999999956,211.23999999999978,1.0,211.23999999999978,-40.52000000000044
2020-09-13,10332.84,10212.34,10750.0,10671.77,67059.291361,0.0,0.0,11921.97,10140.85,10446.25,10126.65,10671.77,11080.65,1.0,11711.16,2.0,-1781.119999999999,-890.5599999999995,1.0,305.39999999999964,305.39999999999964,4.0,-319.60000000000036,-79.90000000000009,545.1200000000008,6.0,90.85333333333347,408.8799999999992
2021-01-27,30362.19,29842.1,33783.98,33364.86,92621.145617,0.0,0.0,36631.27,30850.13,32945.17,30366.15,33364.86,35466.24,1.0,35994.98,3.0,-5781.139999999996,-1927.0466666666653,1.0,2095.0399999999972,2095.0399999999972,5.0,-2579.019999999997,-515.8039999999994,2998.709999999999,1.0,2998.709999999999,2101.3799999999974
2021-03-02,48436.61,48100.71,52640.0,50349.37,81035.913705,1.0,0.0,57408.57,48891.0,49676.2,45135.66,50349.37,52375.17,1.0,55906.0,2.0,-8517.57,-4258.785,1.0,785.1999999999971,785.1999999999971,4.0,-4540.539999999994,-1135.1349999999984,5213.709999999999,3.0,1737.903333333333,2025.7999999999956
2021-06-26,32283.65,31973.45,34749.0,34700.34,96613.244211,1.0,0.0,35600.16,31608.93,34663.09,31584.45,34700.34,33786.55,1.0,35819.84,1.0,-3991.230000000003,-3991.230000000003,3.0,3054.159999999996,1018.053333333332,1.0,-3078.639999999996,-3078.639999999996,3115.889999999996,2.0,1557.944999999998,-913.7899999999936
